[11-Dec-2016 22:57:24 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[11-Dec-2016 22:57:24 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[11-Dec-2016 22:57:24 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[11-Dec-2016 22:57:24 UTC] PHP  16. Illuminate\Routing\Router->findRoute() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:691
[11-Dec-2016 22:57:24 UTC] PHP  17. Illuminate\Routing\Router->substituteBindings() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:825
[11-Dec-2016 22:57:24 UTC] PHP  18. Illuminate\Routing\Router->substituteImplicitBindings() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:842
[11-Dec-2016 22:57:24 UTC] PHP  19. Illuminate\Routing\Route->signatureParameters() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:857
[11-Dec-2016 22:57:24 UTC] PHP  20. ReflectionMethod->__construct() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:57:24 UTC] PHP  21. spl_autoload_call() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:57:24 UTC] PHP  22. Composer\Autoload\ClassLoader->loadClass() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:57:24 UTC] PHP  23. Composer\Autoload\includeFile() /home/ubuntu/workspace/project/vendor/composer/ClassLoader.php:301
[11-Dec-2016 22:58:31 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\AdminController::store() in /home/ubuntu/workspace/project/app/Http/Controllers/AdminController.php on line 87
[11-Dec-2016 22:58:31 UTC] PHP Stack trace:
[11-Dec-2016 22:58:31 UTC] PHP   1. {main}() /home/ubuntu/workspace/project/public/index.php:0
[11-Dec-2016 22:58:31 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/project/public/index.php:54
[11-Dec-2016 22:58:31 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[11-Dec-2016 22:58:31 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[11-Dec-2016 22:58:31 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[11-Dec-2016 22:58:31 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[11-Dec-2016 22:58:31 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
